pregunta,opcion1,opcion2,opcion3,opcion4,respuesta
"En una configuración Pull-Up, ¿qué valor lee el pin cuando el botón NO está presionado?","HIGH","LOW","0","FALSE","HIGH"
"En una configuración Pull-Down, ¿qué valor lee el pin cuando el botón está presionado?","HIGH","LOW","1","TRUE","HIGH"
"¿Cuál es la función correcta para configurar un pin como entrada en Arduino?","pinMode(pin, OUTPUT)","pinMode(pin, INPUT)","digitalWrite(pin, INPUT)","setPin(pin, IN)","pinMode(pin, INPUT)"
"¿Cuál es la función correcta para configurar un pin como salida en Arduino?","pinMode(pin, OUTPUT)","setPinOutput(pin)","digitalWrite(pin, OUTPUT)","configure(pin, OUT)","pinMode(pin, OUTPUT)"
"¿Qué se ejecuta una sola vez en un sketch de Arduino?","void loop()","void setup()","main()","initialize()","void setup()"
"¿Qué función se repite continuamente en Arduino?","void start()","void loop()","void main()","void execute()","void loop()"
"¿Cómo se lee un pin digital en Arduino?","digitalRead(pin)","analogRead(pin)","readDigital(pin)","getPinState(pin)","digitalRead(pin)"
"¿Cómo se escribe un valor HIGH en un pin digital de Arduino?","digitalWrite(pin, HIGH)","writeDigital(pin, 1)","setPin(pin, HIGH)","outputHigh(pin)","digitalWrite(pin, HIGH)"
"¿Cuál es la estructura correcta de un 'if-else' en Arduino?","if (cond) then {} else {}", "if {cond} then [] else []", "if (cond) {} else {}", "when (cond) do {} otherwise {}", "if (cond) {} else {}"
"¿Qué tipo de variable almacena solo 'true' o 'false'?","int","float","boolean","byte","boolean"
"¿Qué hace la función 'delay(1000)' en Arduino?","Detiene el programa por 1 segundo","Ejecuta un bucle por 1 segundo","Espera 1 milisegundo","Reinicia el Arduino","Detiene el programa por 1 segundo"
"¿Cómo asignarías la lectura de un pin digital a una variable booleana?","boolean estado = digitalRead(pin);","bool estado = readPin(pin);","var estado = getDigital(pin);","int estado = digitalRead(pin);","boolean estado = digitalRead(pin);"
"En Pull-Up, ¿qué resistencia conecta el pin a VCC?","Resistencia de 10Ω","Resistencia de 1kΩ","Resistencia de 10kΩ","No usa resistencia","Resistencia de 10kΩ"
"En Pull-Down, ¿dónde se coloca la resistencia?","Entre el pin y GND","Entre el pin y VCC","En serie con el botón","En paralelo al botón","Entre el pin y GND"
"¿Qué valor devuelve digitalRead() si el botón (Pull-Up) está presionado?","HIGH","LOW","1","TRUE","LOW"
"¿Qué ocurre si no configuras un pin como entrada o salida?","Funciona igual","Puede dar lecturas erróneas","El pin se quema","Arduino se reinicia","Puede dar lecturas erróneas"
"¿Qué comando enciende un LED conectado a un pin configurado como salida?","digitalWrite(pin, LOW)","digitalWrite(pin, HIGH)","analogWrite(pin, 255)","setOutput(pin, ON)","digitalWrite(pin, HIGH)"
"¿Cuál es la diferencia entre 'setup()' y 'loop()'?","setup() se repite, loop() no","loop() se repite, setup() no","Ambas son iguales","setup() solo para interrupciones","loop() se repite, setup() no"
"¿Qué pasa si usas delay(500) en el loop()?","El programa se detiene 500 ms","El programa acelera","Solo afecta a las salidas","Nada, es ignorado","El programa se detiene 500 ms"
"¿Cómo declararías una variable booleana llamada 'activo' inicializada en 'true'?","boolean activo = 1;","bool activo = true;","boolean activo = true;","int activo = HIGH;","boolean activo = true;"
"¿Qué hace 'if (digitalRead(pin) == HIGH) {}'?","Verifica si el pin está en LOW","Verifica si el pin está en HIGH","Configura el pin como HIGH","Espera a que el pin sea HIGH","Verifica si el pin está en HIGH"
"En un botón Pull-Up, ¿qué valor lee el pin cuando está presionado?","HIGH","LOW","1","VCC","LOW"
"¿Qué tipo de dato devuelve digitalRead()?","int","float","boolean","byte","int"
"¿Cuál es el voltaje lógico para HIGH en Arduino?","0V","1.8V","3.3V","5V","5V"
"¿Qué hace 'pinMode(13, OUTPUT)'?","Configura el pin 13 como entrada","Configura el pin 13 como salida","Lee el pin 13","Apaga el pin 13","Configura el pin 13 como salida"
"¿Qué pasa si conectas un LED sin resistencia?","Funciona normal","El LED puede quemarse","El pin se daña","Nada, Arduino la incluye internamente","El LED puede quemarse"
"¿Qué comando apaga un LED conectado a un pin?","digitalWrite(pin, HIGH)","digitalWrite(pin, LOW)","analogWrite(pin, 0)","setOutput(pin, OFF)","digitalWrite(pin, LOW)"
"¿Qué es una variable booleana?","Almacena números enteros","Almacena texto","Almacena true/false","Almacena valores flotantes","Almacena true/false"
"¿Cuál es la sintaxis correcta para un 'if' simple?","if (x == 1) then {}","if x = 1 {}","if (x == 1) {}","when x == 1 do {}","if (x == 1) {}"
"¿Qué significa 'delay(100)'?","Espera 100 segundos","Espera 100 milisegundos","Espera 100 microsegundos","No hace nada","Espera 100 milisegundos"
"¿Cómo se asigna el valor de un pin digital a una variable?","int valor = readPin(pin);","int valor = digitalRead(pin);","bool valor = pinRead(pin);","float valor = getPin(pin);","int valor = digitalRead(pin);"
"¿Cuál es el valor máximo de 'delay()' en milisegundos?","32767","65535","4294967295","No tiene límite","4294967295"
"¿Qué función detiene el programa por un tiempo?","wait()","pause()","delay()","stop()","delay()"
"¿Qué tipo de dato es 'true'?","int","float","boolean","char","boolean"
"¿Qué pasa si no se usa 'pinMode()'?","El pin funciona igual","Puede haber comportamientos impredecibles","Arduino se reinicia","El pin se daña permanentemente","Puede haber comportamientos impredecibles"
"¿Qué resistencia es típica para un Pull-Up interno en Arduino?","100Ω","1kΩ","20kΩ","10kΩ","20kΩ"
"¿Qué valor lee digitalRead() en un pin sin conectar?","HIGH","LOW","Aleatorio","0","Aleatorio"
"¿Qué estructura se usa para decisiones binarias?","switch-case","if-else","for-loop","while-loop","if-else"
"¿Qué hace 'boolean estado = (digitalRead(pin) == HIGH);'?","Asigna true si el pin está en HIGH","Asigna el valor analógico del pin","Siempre asigna false","Es una sintaxis inválida","Asigna true si el pin está en HIGH"
"¿Qué comando configura el pin 2 como entrada con Pull-Up interno?","pinMode(2, INPUT);","pinMode(2, INPUT_PULLUP);","setPullUp(2, ON);","digitalWrite(2, HIGH);","pinMode(2, INPUT_PULLUP);"
"¿Qué hace 'if (!digitalRead(pin))'?","Verifica si el pin es HIGH","Verifica si el pin es LOW","Niega el valor del pin","Es una sintaxis inválida","Verifica si el pin es LOW"
"¿Qué resistencia limita la corriente en un LED?","Resistencia Pull-Up","Resistencia Pull-Down","Resistencia en serie","Resistencia en paralelo","Resistencia en serie"
"¿Qué valor envía digitalWrite() para apagar un LED?","HIGH","1","LOW","0","LOW"
"¿Cuál es el voltaje lógico para LOW en Arduino?","0V","1.8V","3.3V","5V","0V"
